,Year,Aquaculture (%Total)
0,1965.0,3.081232492997199
1,1966.0,2.2670025188916876
2,1967.0,2.589641434262948
3,1968.0,4.8964218455743875
4,1969.0,4.511278195488722
5,1970.0,4.690688330946376
6,1971.0,6.620246673683642
7,1972.0,5.984019454577036
8,1973.0,3.769242627788667
9,1974.0,4.2515431237512695
10,1975.0,4.815489182678715
11,1976.0,5.281045476546224
12,1977.0,4.957603647364609
13,1978.0,3.901021992982187
14,1979.0,3.959504096778345
15,1980.0,3.7585816170099315
16,1981.0,3.0385902530851285
17,1982.0,3.2789194875455534
18,1983.0,3.466786830324344
19,1984.0,6.380205622342795
20,1985.0,4.587581626666564
21,1986.0,4.870059131790887
22,1987.0,6.6179282022233235
23,1988.0,6.27312588353283
24,1989.0,8.639497338336678
25,1990.0,9.697615316654971
26,1991.0,9.4622841924715
27,1992.0,8.844660700095101
28,1993.0,8.85749530075188
29,1994.0,8.038237458776468
30,1995.0,6.0688449989577
31,1996.0,8.712365946810289
32,1997.0,10.09964264573696
33,1998.0,10.514340443798215
34,1999.0,12.068277568182632
35,2000.0,14.09262905478985
36,2001.0,13.438595717467528
37,2002.0,16.408696336314286
38,2003.0,17.186907203457395
39,2004.0,15.818147813854399
40,2005.0,16.80985132869208
41,2006.0,18.043544716551747
42,2007.0,18.941600270670108
43,2008.0,16.04206853030089
44,2009.0,13.727902168670777
45,2010.0,11.771743766392598
46,2011.0,15.384549175575161
47,2012.0,10.57070131086846
48,2013.0,11.026405861744093
49,2014.0,9.241102767795116
50,2015.0,13.04190513781988
51,2016.0,13.410320581482424
52,2017.0,14.120047122207072
53,2018.0,12.804989099826491
54,2019.0,15.905649023238482
55,2020.0,16.02925376657717
56,2021.0,16.96095485633043
57,2022.0,17.31381190766558
58,2023.0,18.81368213897568
59,2024.0,18.787223642792952
60,2025.0,19.415012344806456
61,2026.0,19.653722351059116
62,2027.0,20.1614560250066
63,2028.0,20.09828213003135
